Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
03/17/2022 01:00:00,03/17/2022 06:00:00,AEC,SOUC,11.6326,-0.0234,12.1819,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_CSWS,CSWS_AECC_LA,19.7831,-0.0264,20.3353,-0.5258
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,21.0972,-0.0188,21.6419,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,18.0045,-0.0317,18.5621,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,21.3500,-0.0092,21.8851,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,19.8260,-0.0243,20.3762,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,18.2887,-0.0094,18.8240,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,20.9293,-0.0179,21.4731,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,AECI,AECI,10.9367,-0.0104,11.4731,-0.5260
03/17/2022 01:00:00,03/17/2022 06:00:00,AEPM_CSWS,CSWS_LA,16.4053,-0.0303,16.9615,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,ALTW,MISO,4.8563,-0.0125,5.3946,-0.5258
03/17/2022 01:00:00,03/17/2022 06:00:00,AMRN,MISO,4.8563,-0.0125,5.3946,-0.5258
03/17/2022 01:00:00,03/17/2022 06:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,-16.6902,0.0149,-16.1792,-0.5259
03/17/2022 01:00:00,03/17/2022 06:00:00,BBA,MISO,4.8563,-0.0125,5.3946,-0.5258
