Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp
02/07/2022 01:00:00,02/07/2022 07:00:00,1,14.1660,4.8768,9.1501,0.1490
02/07/2022 01:00:00,02/07/2022 07:00:00,2,14.1660,4.8768,9.1501,0.1490
02/07/2022 01:00:00,02/07/2022 07:00:00,3,14.1660,4.8768,9.1501,0.1490
02/07/2022 01:00:00,02/07/2022 07:00:00,4,14.1660,4.8768,9.1501,0.1490
02/07/2022 01:00:00,02/07/2022 07:00:00,5,14.1660,4.8768,9.1501,0.1490
02/07/2022 01:00:00,02/07/2022 07:00:00,SPP,14.1660,4.8768,9.1501,0.1490
02/07/2022 02:00:00,02/07/2022 08:00:00,1,11.6231,5.7078,8.2112,0.1490
02/07/2022 02:00:00,02/07/2022 08:00:00,2,11.6231,5.7078,8.2112,0.1490
02/07/2022 02:00:00,02/07/2022 08:00:00,3,11.6231,5.7078,8.2112,0.1490
02/07/2022 02:00:00,02/07/2022 08:00:00,4,11.6231,5.7078,8.2112,0.1490
02/07/2022 02:00:00,02/07/2022 08:00:00,5,11.6231,5.7078,8.2112,0.1490
02/07/2022 02:00:00,02/07/2022 08:00:00,SPP,11.6231,5.7078,8.2112,0.1490
02/07/2022 03:00:00,02/07/2022 09:00:00,1,8.9091,7.9040,7.1165,0.1490
02/07/2022 03:00:00,02/07/2022 09:00:00,2,8.9091,7.9040,7.1165,0.1490
02/07/2022 03:00:00,02/07/2022 09:00:00,3,8.9091,7.9040,7.1165,0.1490
02/07/2022 03:00:00,02/07/2022 09:00:00,4,8.9091,7.9040,7.1165,0.1490
02/07/2022 03:00:00,02/07/2022 09:00:00,5,8.9091,7.9040,7.1165,0.1490
02/07/2022 03:00:00,02/07/2022 09:00:00,SPP,8.9091,7.9040,7.1165,0.1490
02/07/2022 04:00:00,02/07/2022 10:00:00,1,8.6156,8.0251,6.2071,0.1490
02/07/2022 04:00:00,02/07/2022 10:00:00,2,8.6156,8.0251,6.2071,0.1490
02/07/2022 04:00:00,02/07/2022 10:00:00,3,8.6156,8.0251,6.2071,0.1490
02/07/2022 04:00:00,02/07/2022 10:00:00,4,8.6156,8.0251,6.2071,0.1490
02/07/2022 04:00:00,02/07/2022 10:00:00,5,8.6156,8.0251,6.2071,0.1490
02/07/2022 04:00:00,02/07/2022 10:00:00,SPP,8.6156,8.0251,6.2071,0.1490
02/07/2022 05:00:00,02/07/2022 11:00:00,1,10.8836,7.9836,7.5002,0.1490
02/07/2022 05:00:00,02/07/2022 11:00:00,2,10.8836,7.9836,7.5002,0.1490
02/07/2022 05:00:00,02/07/2022 11:00:00,3,10.8836,7.9836,7.5002,0.1490
02/07/2022 05:00:00,02/07/2022 11:00:00,4,10.8836,7.9836,7.5002,0.1490
02/07/2022 05:00:00,02/07/2022 11:00:00,5,10.8836,7.9836,7.5002,0.1490
02/07/2022 05:00:00,02/07/2022 11:00:00,SPP,10.8836,7.9836,7.5002,0.1490
02/07/2022 06:00:00,02/07/2022 12:00:00,1,11.6394,8.0005,10.2856,0.1490
02/07/2022 06:00:00,02/07/2022 12:00:00,2,11.6394,8.0005,10.2856,0.1490
02/07/2022 06:00:00,02/07/2022 12:00:00,3,11.6394,8.0005,10.2856,0.1490
02/07/2022 06:00:00,02/07/2022 12:00:00,4,11.6394,8.0005,10.2856,0.1490
02/07/2022 06:00:00,02/07/2022 12:00:00,5,11.6394,8.0005,10.2856,0.1490
02/07/2022 06:00:00,02/07/2022 12:00:00,SPP,11.6394,8.0005,10.2856,0.1490
02/07/2022 07:00:00,02/07/2022 13:00:00,1,17.0948,4.9414,14.7839,0.6700
02/07/2022 07:00:00,02/07/2022 13:00:00,2,17.0948,4.9414,14.7839,0.6700
02/07/2022 07:00:00,02/07/2022 13:00:00,3,17.0948,4.9414,14.7839,0.6700
02/07/2022 07:00:00,02/07/2022 13:00:00,4,17.0948,4.9414,14.7839,0.6700
02/07/2022 07:00:00,02/07/2022 13:00:00,5,17.0948,4.9414,14.7839,0.6700
02/07/2022 07:00:00,02/07/2022 13:00:00,SPP,17.0948,4.9414,14.7839,0.6700
02/07/2022 08:00:00,02/07/2022 14:00:00,1,20.0305,4.5358,17.5030,0.6700
02/07/2022 08:00:00,02/07/2022 14:00:00,2,20.0305,4.5358,17.5030,0.6700
02/07/2022 08:00:00,02/07/2022 14:00:00,3,20.0305,4.5358,17.5030,0.6700
02/07/2022 08:00:00,02/07/2022 14:00:00,4,20.0305,4.5358,17.5030,0.6700
02/07/2022 08:00:00,02/07/2022 14:00:00,5,20.0305,4.5358,17.5030,0.6700
02/07/2022 08:00:00,02/07/2022 14:00:00,SPP,20.0305,4.5358,17.5030,0.6700
02/07/2022 09:00:00,02/07/2022 15:00:00,1,9.5378,4.3144,7.5000,0.6701
02/07/2022 09:00:00,02/07/2022 15:00:00,2,9.5378,4.3144,7.5000,0.6701
02/07/2022 09:00:00,02/07/2022 15:00:00,3,9.5378,4.3144,7.5000,0.6701
02/07/2022 09:00:00,02/07/2022 15:00:00,4,9.5378,4.3144,7.5000,0.6701
02/07/2022 09:00:00,02/07/2022 15:00:00,5,9.5378,4.3144,7.5000,0.6701
02/07/2022 09:00:00,02/07/2022 15:00:00,SPP,9.5378,4.3144,7.5000,0.6701
02/07/2022 10:00:00,02/07/2022 16:00:00,1,23.0045,2.7719,19.4115,1.0001
02/07/2022 10:00:00,02/07/2022 16:00:00,2,23.0045,2.7719,19.4115,1.0001
02/07/2022 10:00:00,02/07/2022 16:00:00,3,23.0045,2.7719,19.4115,1.0001
02/07/2022 10:00:00,02/07/2022 16:00:00,4,23.0045,2.7719,19.4115,1.0001
02/07/2022 10:00:00,02/07/2022 16:00:00,5,23.0045,2.7719,19.4115,1.0001
02/07/2022 10:00:00,02/07/2022 16:00:00,SPP,23.0045,2.7719,19.4115,1.0001
02/07/2022 11:00:00,02/07/2022 17:00:00,1,26.9064,2.6820,22.6826,0.8000
02/07/2022 11:00:00,02/07/2022 17:00:00,2,26.9064,2.6820,22.6826,0.8000
02/07/2022 11:00:00,02/07/2022 17:00:00,3,26.9064,2.6820,22.6826,0.8000
02/07/2022 11:00:00,02/07/2022 17:00:00,4,26.9064,2.6820,22.6826,0.8000
02/07/2022 11:00:00,02/07/2022 17:00:00,5,26.9064,2.6820,22.6826,0.8000
02/07/2022 11:00:00,02/07/2022 17:00:00,SPP,26.9064,2.6820,22.6826,0.8000
02/07/2022 12:00:00,02/07/2022 18:00:00,1,14.9332,2.5000,11.5741,0.8000
02/07/2022 12:00:00,02/07/2022 18:00:00,2,14.9332,2.5000,11.5741,0.8000
02/07/2022 12:00:00,02/07/2022 18:00:00,3,14.9332,2.5000,11.5741,0.8000
02/07/2022 12:00:00,02/07/2022 18:00:00,4,14.9332,2.5000,11.5741,0.8000
02/07/2022 12:00:00,02/07/2022 18:00:00,5,14.9332,2.5000,11.5741,0.8000
02/07/2022 12:00:00,02/07/2022 18:00:00,SPP,14.9332,2.5000,11.5741,0.8000
02/07/2022 13:00:00,02/07/2022 19:00:00,1,13.5883,2.6267,12.2591,0.7000
02/07/2022 13:00:00,02/07/2022 19:00:00,2,13.5883,2.6267,12.2591,0.7000
02/07/2022 13:00:00,02/07/2022 19:00:00,3,13.5883,2.6267,12.2591,0.7000
02/07/2022 13:00:00,02/07/2022 19:00:00,4,13.5883,2.6267,12.2591,0.7000
02/07/2022 13:00:00,02/07/2022 19:00:00,5,13.5883,2.6267,12.2591,0.7000
02/07/2022 13:00:00,02/07/2022 19:00:00,SPP,13.5883,2.6267,12.2591,0.7000
02/07/2022 14:00:00,02/07/2022 20:00:00,1,14.4971,4.7305,12.5511,0.7000
02/07/2022 14:00:00,02/07/2022 20:00:00,2,14.4971,4.7305,12.5511,0.7000
02/07/2022 14:00:00,02/07/2022 20:00:00,3,14.4971,4.7305,12.5511,0.7000
02/07/2022 14:00:00,02/07/2022 20:00:00,4,14.4971,4.7305,12.5511,0.7000
02/07/2022 14:00:00,02/07/2022 20:00:00,5,14.4971,4.7305,12.5511,0.7000
02/07/2022 14:00:00,02/07/2022 20:00:00,SPP,14.4971,4.7305,12.5511,0.7000
02/07/2022 15:00:00,02/07/2022 21:00:00,1,9.5905,4.9504,7.7150,0.1500
02/07/2022 15:00:00,02/07/2022 21:00:00,2,9.5905,4.9504,7.7150,0.1500
02/07/2022 15:00:00,02/07/2022 21:00:00,3,9.5905,4.9504,7.7150,0.1500
02/07/2022 15:00:00,02/07/2022 21:00:00,4,9.5905,4.9504,7.7150,0.1500
02/07/2022 15:00:00,02/07/2022 21:00:00,5,9.5905,4.9504,7.7150,0.1500
02/07/2022 15:00:00,02/07/2022 21:00:00,SPP,9.5905,4.9504,7.7150,0.1500
02/07/2022 16:00:00,02/07/2022 22:00:00,1,8.3476,4.7337,6.8031,0.1490
02/07/2022 16:00:00,02/07/2022 22:00:00,2,8.3476,4.7337,6.8031,0.1490
02/07/2022 16:00:00,02/07/2022 22:00:00,3,8.3476,4.7337,6.8031,0.1490
02/07/2022 16:00:00,02/07/2022 22:00:00,4,8.3476,4.7337,6.8031,0.1490
02/07/2022 16:00:00,02/07/2022 22:00:00,5,8.3476,4.7337,6.8031,0.1490
02/07/2022 16:00:00,02/07/2022 22:00:00,SPP,8.3476,4.7337,6.8031,0.1490
02/07/2022 17:00:00,02/07/2022 23:00:00,1,11.4617,2.7372,9.4791,0.1500
02/07/2022 17:00:00,02/07/2022 23:00:00,2,11.4617,2.7372,9.4791,0.1500
02/07/2022 17:00:00,02/07/2022 23:00:00,3,11.4617,2.7372,9.4791,0.1500
02/07/2022 17:00:00,02/07/2022 23:00:00,4,11.4617,2.7372,9.4791,0.1500
02/07/2022 17:00:00,02/07/2022 23:00:00,5,11.4617,2.7372,9.4791,0.1500
02/07/2022 17:00:00,02/07/2022 23:00:00,SPP,11.4617,2.7372,9.4791,0.1500
02/07/2022 18:00:00,02/08/2022 00:00:00,1,24.7442,4.5731,17.6182,0.6706
02/07/2022 18:00:00,02/08/2022 00:00:00,2,24.7442,4.5731,17.6182,0.6706
02/07/2022 18:00:00,02/08/2022 00:00:00,3,24.7442,4.5731,17.6182,0.6706
02/07/2022 18:00:00,02/08/2022 00:00:00,4,24.7442,4.5731,17.6182,0.6706
02/07/2022 18:00:00,02/08/2022 00:00:00,5,24.7442,4.5731,17.6182,0.6706
02/07/2022 18:00:00,02/08/2022 00:00:00,SPP,24.7442,4.5731,17.6182,0.6706
02/07/2022 19:00:00,02/08/2022 01:00:00,1,18.0482,9.5891,16.8229,0.6701
02/07/2022 19:00:00,02/08/2022 01:00:00,2,18.0482,9.5891,16.8229,0.6701
02/07/2022 19:00:00,02/08/2022 01:00:00,3,18.0482,9.5891,16.8229,0.6701
02/07/2022 19:00:00,02/08/2022 01:00:00,4,18.0482,9.5891,16.8229,0.6701
02/07/2022 19:00:00,02/08/2022 01:00:00,5,18.0482,9.5891,16.8229,0.6701
02/07/2022 19:00:00,02/08/2022 01:00:00,SPP,18.0482,9.5891,16.8229,0.6701
02/07/2022 20:00:00,02/08/2022 02:00:00,1,12.5166,9.9843,9.0000,0.6701
02/07/2022 20:00:00,02/08/2022 02:00:00,2,12.5166,9.9843,9.0000,0.6701
02/07/2022 20:00:00,02/08/2022 02:00:00,3,12.5166,9.9843,9.0000,0.6701
02/07/2022 20:00:00,02/08/2022 02:00:00,4,12.5166,9.9843,9.0000,0.6701
02/07/2022 20:00:00,02/08/2022 02:00:00,5,12.5166,9.9843,9.0000,0.6701
02/07/2022 20:00:00,02/08/2022 02:00:00,SPP,12.5166,9.9843,9.0000,0.6701
02/07/2022 21:00:00,02/08/2022 03:00:00,1,8.5578,9.9822,4.0000,0.6700
02/07/2022 21:00:00,02/08/2022 03:00:00,2,8.5578,9.9822,4.0000,0.6700
02/07/2022 21:00:00,02/08/2022 03:00:00,3,8.5578,9.9822,4.0000,0.6700
