Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
03/14/2022 01:00:00,03/14/2022 06:00:00,AEC,SOUC,16.4218,-0.1335,18.9534,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_CSWS,CSWS_AECC_LA,22.9467,-0.1120,25.4568,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,24.1143,-0.0674,26.5799,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,20.7629,-0.1470,23.3080,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,24.8307,-0.0279,27.2567,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,21.0538,-0.1282,23.5801,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,20.6902,-0.0408,23.1292,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,21.4751,-0.0962,23.9694,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AECI,AECI,17.3232,-0.0454,19.7668,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,AEPM_CSWS,CSWS_LA,16.0981,-0.1142,18.6105,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,ALTW,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,AMRN,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,-20.0243,0.0970,-17.7232,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BBA,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BCA,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,-11.6078,-0.1753,-9.0344,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,-13.5038,0.1402,-11.2459,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BLKW,BLKW,-20.8538,0.0543,-18.5100,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,-15.9948,0.2428,-13.8395,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,-15.4165,0.1594,-13.1777,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,-16.0002,0.2374,-13.8395,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BRAZ,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BUBA,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,-21.1188,0.3225,-19.0432,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,-25.3828,0.1266,-23.1113,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,-25.3828,0.1266,-23.1113,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,-25.3828,0.1266,-23.1113,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,-25.3828,0.1266,-23.1113,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,-25.3828,0.1266,-23.1113,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,-31.4932,0.1442,-29.2392,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,-8.2470,0.0728,-5.9216,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,-8.2470,0.0728,-5.9216,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,CLEC,MISO,10.4503,-0.0951,12.9435,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,-10.7270,-0.0494,-8.2794,-2.3982
03/14/2022 01:00:00,03/14/2022 06:00:00,COWP,COWP_LA,25.0501,-0.0971,27.5453,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,25.0501,-0.0971,27.5453,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,COWP_GEN2,WRW_PLAINGUNCOWP_GEN2_RA,25.0501,-0.0971,27.5453,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CPLE,VACS,16.0282,-0.1261,18.5524,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CPLW,VACS,16.0282,-0.1261,18.5524,-2.3981
03/14/2022 01:00:00,03/14/2022 06:00:00,CROSSROADS1,MPSCRSRD_EXUNCROSSROADS1_RA,18.0904,-0.1420,20.6305,-2.3981
