Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp
02/04/2022 01:00:00,02/04/2022 07:00:00,1,4.8815,8.0244,2.0001,0.1490
02/04/2022 01:00:00,02/04/2022 07:00:00,2,4.8815,8.0244,2.0001,0.1490
02/04/2022 01:00:00,02/04/2022 07:00:00,3,4.8815,8.0244,2.0001,0.1490
02/04/2022 01:00:00,02/04/2022 07:00:00,4,4.8815,8.0244,2.0001,0.1490
02/04/2022 01:00:00,02/04/2022 07:00:00,5,4.8815,8.0244,2.0001,0.1490
02/04/2022 01:00:00,02/04/2022 07:00:00,SPP,4.8815,8.0244,2.0001,0.1490
02/04/2022 02:00:00,02/04/2022 08:00:00,1,4.6269,5.1259,1.5701,0.1480
02/04/2022 02:00:00,02/04/2022 08:00:00,2,4.6269,5.1259,1.5701,0.1480
02/04/2022 02:00:00,02/04/2022 08:00:00,3,4.6269,5.1259,1.5701,0.1480
02/04/2022 02:00:00,02/04/2022 08:00:00,4,4.6269,5.1259,1.5701,0.1480
02/04/2022 02:00:00,02/04/2022 08:00:00,5,4.6269,5.1259,1.5701,0.1480
02/04/2022 02:00:00,02/04/2022 08:00:00,SPP,4.6269,5.1259,1.5701,0.1480
02/04/2022 03:00:00,02/04/2022 09:00:00,1,5.2930,8.0185,1.0622,0.1480
02/04/2022 03:00:00,02/04/2022 09:00:00,2,5.2930,8.0185,1.0622,0.1480
02/04/2022 03:00:00,02/04/2022 09:00:00,3,5.2930,8.0185,1.0622,0.1480
02/04/2022 03:00:00,02/04/2022 09:00:00,4,5.2930,8.0185,1.0622,0.1480
02/04/2022 03:00:00,02/04/2022 09:00:00,5,5.2930,8.0185,1.0622,0.1480
02/04/2022 03:00:00,02/04/2022 09:00:00,SPP,5.2930,8.0185,1.0622,0.1480
02/04/2022 04:00:00,02/04/2022 10:00:00,1,4.5144,7.8778,1.0003,0.1480
02/04/2022 04:00:00,02/04/2022 10:00:00,2,4.5144,7.8778,1.0003,0.1480
02/04/2022 04:00:00,02/04/2022 10:00:00,3,4.5144,7.8778,1.0003,0.1480
02/04/2022 04:00:00,02/04/2022 10:00:00,4,4.5144,7.8778,1.0003,0.1480
02/04/2022 04:00:00,02/04/2022 10:00:00,5,4.5144,7.8778,1.0003,0.1480
02/04/2022 04:00:00,02/04/2022 10:00:00,SPP,4.5144,7.8778,1.0003,0.1480
02/04/2022 05:00:00,02/04/2022 11:00:00,1,5.3484,5.8814,2.1490,0.1490
02/04/2022 05:00:00,02/04/2022 11:00:00,2,5.3484,5.8814,2.1490,0.1490
02/04/2022 05:00:00,02/04/2022 11:00:00,3,5.3484,5.8814,2.1490,0.1490
02/04/2022 05:00:00,02/04/2022 11:00:00,4,5.3484,5.8814,2.1490,0.1490
02/04/2022 05:00:00,02/04/2022 11:00:00,5,5.3484,5.8814,2.1490,0.1490
02/04/2022 05:00:00,02/04/2022 11:00:00,SPP,5.3484,5.8814,2.1490,0.1490
02/04/2022 06:00:00,02/04/2022 12:00:00,1,9.6192,7.8649,3.7155,0.1500
02/04/2022 06:00:00,02/04/2022 12:00:00,2,9.6192,7.8649,3.7155,0.1500
02/04/2022 06:00:00,02/04/2022 12:00:00,3,9.6192,7.8649,3.7155,0.1500
02/04/2022 06:00:00,02/04/2022 12:00:00,4,9.6192,7.8649,3.7155,0.1500
02/04/2022 06:00:00,02/04/2022 12:00:00,5,9.6192,7.8649,3.7155,0.1500
02/04/2022 06:00:00,02/04/2022 12:00:00,SPP,9.6192,7.8649,3.7155,0.1500
02/04/2022 07:00:00,02/04/2022 13:00:00,1,15.4932,4.9484,4.0000,0.5001
02/04/2022 07:00:00,02/04/2022 13:00:00,2,15.4932,4.9484,4.0000,0.5001
02/04/2022 07:00:00,02/04/2022 13:00:00,3,15.4932,4.9484,4.0000,0.5001
02/04/2022 07:00:00,02/04/2022 13:00:00,4,15.4932,4.9484,4.0000,0.5001
02/04/2022 07:00:00,02/04/2022 13:00:00,5,15.4932,4.9484,4.0000,0.5001
02/04/2022 07:00:00,02/04/2022 13:00:00,SPP,15.4932,4.9484,4.0000,0.5001
02/04/2022 08:00:00,02/04/2022 14:00:00,1,17.5227,4.0894,9.2892,0.6701
02/04/2022 08:00:00,02/04/2022 14:00:00,2,17.5227,4.0894,9.2892,0.6701
02/04/2022 08:00:00,02/04/2022 14:00:00,3,17.5227,4.0894,9.2892,0.6701
02/04/2022 08:00:00,02/04/2022 14:00:00,4,17.5227,4.0894,9.2892,0.6701
02/04/2022 08:00:00,02/04/2022 14:00:00,5,17.5227,4.0894,9.2892,0.6701
02/04/2022 08:00:00,02/04/2022 14:00:00,SPP,17.5227,4.0894,9.2892,0.6701
02/04/2022 09:00:00,02/04/2022 15:00:00,1,15.1996,2.5001,9.8924,0.6701
02/04/2022 09:00:00,02/04/2022 15:00:00,2,15.1996,2.5001,9.8924,0.6701
02/04/2022 09:00:00,02/04/2022 15:00:00,3,15.1996,2.5001,9.8924,0.6701
02/04/2022 09:00:00,02/04/2022 15:00:00,4,15.1996,2.5001,9.8924,0.6701
02/04/2022 09:00:00,02/04/2022 15:00:00,5,15.1996,2.5001,9.8924,0.6701
02/04/2022 09:00:00,02/04/2022 15:00:00,SPP,15.1996,2.5001,9.8924,0.6701
02/04/2022 10:00:00,02/04/2022 16:00:00,1,20.8245,2.5001,13.2552,0.7000
02/04/2022 10:00:00,02/04/2022 16:00:00,2,20.8245,2.5001,13.2552,0.7000
02/04/2022 10:00:00,02/04/2022 16:00:00,3,20.8245,2.5001,13.2552,0.7000
02/04/2022 10:00:00,02/04/2022 16:00:00,4,20.8245,2.5001,13.2552,0.7000
02/04/2022 10:00:00,02/04/2022 16:00:00,5,20.8245,2.5001,13.2552,0.7000
02/04/2022 10:00:00,02/04/2022 16:00:00,SPP,20.8245,2.5001,13.2552,0.7000
02/04/2022 11:00:00,02/04/2022 17:00:00,1,27.2390,2.4375,12.4238,0.7000
02/04/2022 11:00:00,02/04/2022 17:00:00,2,27.2390,2.4375,12.4238,0.7000
02/04/2022 11:00:00,02/04/2022 17:00:00,3,27.2390,2.4375,12.4238,0.7000
02/04/2022 11:00:00,02/04/2022 17:00:00,4,27.2390,2.4375,12.4238,0.7000
02/04/2022 11:00:00,02/04/2022 17:00:00,5,27.2390,2.4375,12.4238,0.7000
02/04/2022 11:00:00,02/04/2022 17:00:00,SPP,27.2390,2.4375,12.4238,0.7000
02/04/2022 12:00:00,02/04/2022 18:00:00,1,15.6941,2.3847,11.6941,0.7000
02/04/2022 12:00:00,02/04/2022 18:00:00,2,15.6941,2.3847,11.6941,0.7000
02/04/2022 12:00:00,02/04/2022 18:00:00,3,15.6941,2.3847,11.6941,0.7000
02/04/2022 12:00:00,02/04/2022 18:00:00,4,15.6941,2.3847,11.6941,0.7000
02/04/2022 12:00:00,02/04/2022 18:00:00,5,15.6941,2.3847,11.6941,0.7000
02/04/2022 12:00:00,02/04/2022 18:00:00,SPP,15.6941,2.3847,11.6941,0.7000
02/04/2022 13:00:00,02/04/2022 19:00:00,1,13.9566,4.5130,4.0000,0.7000
02/04/2022 13:00:00,02/04/2022 19:00:00,2,13.9566,4.5130,4.0000,0.7000
02/04/2022 13:00:00,02/04/2022 19:00:00,3,13.9566,4.5130,4.0000,0.7000
02/04/2022 13:00:00,02/04/2022 19:00:00,4,13.9566,4.5130,4.0000,0.7000
02/04/2022 13:00:00,02/04/2022 19:00:00,5,13.9566,4.5130,4.0000,0.7000
02/04/2022 13:00:00,02/04/2022 19:00:00,SPP,13.9566,4.5130,4.0000,0.7000
02/04/2022 14:00:00,02/04/2022 20:00:00,1,8.6108,4.5586,4.0000,0.1500
02/04/2022 14:00:00,02/04/2022 20:00:00,2,8.6108,4.5586,4.0000,0.1500
02/04/2022 14:00:00,02/04/2022 20:00:00,3,8.6108,4.5586,4.0000,0.1500
02/04/2022 14:00:00,02/04/2022 20:00:00,4,8.6108,4.5586,4.0000,0.1500
02/04/2022 14:00:00,02/04/2022 20:00:00,5,8.6108,4.5586,4.0000,0.1500
02/04/2022 14:00:00,02/04/2022 20:00:00,SPP,8.6108,4.5586,4.0000,0.1500
02/04/2022 15:00:00,02/04/2022 21:00:00,1,15.0581,3.4481,3.5000,0.1490
02/04/2022 15:00:00,02/04/2022 21:00:00,2,15.0581,3.4481,3.5000,0.1490
02/04/2022 15:00:00,02/04/2022 21:00:00,3,15.0581,3.4481,3.5000,0.1490
02/04/2022 15:00:00,02/04/2022 21:00:00,4,15.0581,3.4481,3.5000,0.1490
02/04/2022 15:00:00,02/04/2022 21:00:00,5,15.0581,3.4481,3.5000,0.1490
02/04/2022 15:00:00,02/04/2022 21:00:00,SPP,15.0581,3.4481,3.5000,0.1490
02/04/2022 16:00:00,02/04/2022 22:00:00,1,6.3261,2.2432,2.0001,0.1490
02/04/2022 16:00:00,02/04/2022 22:00:00,2,6.3261,2.2432,2.0001,0.1490
02/04/2022 16:00:00,02/04/2022 22:00:00,3,6.3261,2.2432,2.0001,0.1490
02/04/2022 16:00:00,02/04/2022 22:00:00,4,6.3261,2.2432,2.0001,0.1490
02/04/2022 16:00:00,02/04/2022 22:00:00,5,6.3261,2.2432,2.0001,0.1490
02/04/2022 16:00:00,02/04/2022 22:00:00,SPP,6.3261,2.2432,2.0001,0.1490
02/04/2022 17:00:00,02/04/2022 23:00:00,1,8.6497,2.2662,4.0000,0.1490
02/04/2022 17:00:00,02/04/2022 23:00:00,2,8.6497,2.2662,4.0000,0.1490
02/04/2022 17:00:00,02/04/2022 23:00:00,3,8.6497,2.2662,4.0000,0.1490
02/04/2022 17:00:00,02/04/2022 23:00:00,4,8.6497,2.2662,4.0000,0.1490
02/04/2022 17:00:00,02/04/2022 23:00:00,5,8.6497,2.2662,4.0000,0.1490
02/04/2022 17:00:00,02/04/2022 23:00:00,SPP,8.6497,2.2662,4.0000,0.1490
02/04/2022 18:00:00,02/05/2022 00:00:00,1,16.2453,2.5001,11.1732,0.2000
02/04/2022 18:00:00,02/05/2022 00:00:00,2,16.2453,2.5001,11.1732,0.2000
02/04/2022 18:00:00,02/05/2022 00:00:00,3,16.2453,2.5001,11.1732,0.2000
02/04/2022 18:00:00,02/05/2022 00:00:00,4,16.2453,2.5001,11.1732,0.2000
02/04/2022 18:00:00,02/05/2022 00:00:00,5,16.2453,2.5001,11.1732,0.2000
02/04/2022 18:00:00,02/05/2022 00:00:00,SPP,16.2453,2.5001,11.1732,0.2000
02/04/2022 19:00:00,02/05/2022 01:00:00,1,19.6956,2.5000,11.1513,0.6707
02/04/2022 19:00:00,02/05/2022 01:00:00,2,19.6956,2.5000,11.1513,0.6707
02/04/2022 19:00:00,02/05/2022 01:00:00,3,19.6956,2.5000,11.1513,0.6707
02/04/2022 19:00:00,02/05/2022 01:00:00,4,19.6956,2.5000,11.1513,0.6707
02/04/2022 19:00:00,02/05/2022 01:00:00,5,19.6956,2.5000,11.1513,0.6707
02/04/2022 19:00:00,02/05/2022 01:00:00,SPP,19.6956,2.5000,11.1513,0.6707
02/04/2022 20:00:00,02/05/2022 02:00:00,1,11.0552,2.5000,7.6911,0.6701
02/04/2022 20:00:00,02/05/2022 02:00:00,2,11.0552,2.5000,7.6911,0.6701
02/04/2022 20:00:00,02/05/2022 02:00:00,3,11.0552,2.5000,7.6911,0.6701
02/04/2022 20:00:00,02/05/2022 02:00:00,4,11.0552,2.5000,7.6911,0.6701
02/04/2022 20:00:00,02/05/2022 02:00:00,5,11.0552,2.5000,7.6911,0.6701
02/04/2022 20:00:00,02/05/2022 02:00:00,SPP,11.0552,2.5000,7.6911,0.6701
02/04/2022 21:00:00,02/05/2022 03:00:00,1,10.4349,4.4523,7.1669,0.6701
02/04/2022 21:00:00,02/05/2022 03:00:00,2,10.4349,4.4523,7.1669,0.6701
02/04/2022 21:00:00,02/05/2022 03:00:00,3,10.4349,4.4523,7.1669,0.6701
02/04/2022 21:00:00,02/05/2022 03:00:00,4,10.4349,4.4523,7.1669,0.6701
02/04/2022 21:00:00,02/05/2022 03:00:00,5,10.4349,4.4523,7.1669,0.6701
02/04/2022 21:00:00,02/05/2022 03:00:00,SPP,10.4349,4.4523,7.1669,0.6701
02/04/2022 22:00:00,02/05/2022 04:00:00,1,8.0182,5.5659,5.2996,0.1500
02/04/2022 22:00:00,02/05/2022 04:00:00,2,8.0182,5.5659,5.2996,0.1500
02/04/2022 22:00:00,02/05/2022 04:00:00,3,8.0182,5.5659,5.2996,0.1500
02/04/2022 22:00:00,02/05/2022 04:00:00,4,8.0182,5.5659,5.2996,0.1500
02/04/2022 22:00:00,02/05/2022 04:00:00,5,8.0182,5.5659,5.2996,0.1500
02/04/2022 22:00:00,02/05/2022 04:00:00,SPP,8.0182,5.5659,5.2996,0.1500
02/04/2022 23:00:00,02/05/2022 05:00:00,1,10.3283,12.4273,4.0000,0.1480
02/04/2022 23:00:00,02/05/2022 05:00:00,2,10.3283,12.4273,4.0000,0.1480
02/04/2022 23:00:00,02/05/2022 05:00:00,3,10.3283,12.4273,4.0000,0.1480
02/04/2022 23:00:00,02/05/2022 05:00:00,4,10.3283,12.4273,4.0000,0.1480
02/04/2022 23:00:00,02/05/2022 05:00:00,5,10.3283,12.4273,4.0000,0.1480
02/04/2022 23:00:00,02/05/2022 05:00:00,SPP,10.3283,12.4273,4.0000,0.1480
02/05/2022 00:00:00,02/05/2022 06:00:00,1,9.5856,22.4196,2.8966,0.1480
02/05/2022 00:00:00,02/05/2022 06:00:00,2,9.5856,22.4196,2.8966,0.1480
02/05/2022 00:00:00,02/05/2022 06:00:00,3,9.5856,22.4196,2.8966,0.1480
02/05/2022 00:00:00,02/05/2022 06:00:00,4,9.5856,22.4196,2.8966,0.1480
02/05/2022 00:00:00,02/05/2022 06:00:00,5,9.5856,22.4196,2.8966,0.1480
02/05/2022 00:00:00,02/05/2022 06:00:00,SPP,9.5856,22.4196,2.8966,0.1480
