Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp,RampUP,RampDN
03/11/2022 01:00:00,03/11/2022 07:00:00,1,10.1525,11.4095,0.2599,0.0101,0.0000,0.0000
03/11/2022 01:00:00,03/11/2022 07:00:00,2,10.1525,11.4095,0.2599,0.0101,0.0000,0.0000
03/11/2022 01:00:00,03/11/2022 07:00:00,3,10.1525,11.4095,0.2599,0.0101,0.0000,0.0000
03/11/2022 01:00:00,03/11/2022 07:00:00,4,10.1525,11.4095,0.2599,0.0101,0.0000,0.0000
03/11/2022 01:00:00,03/11/2022 07:00:00,5,10.1525,11.4095,0.2599,0.0101,0.0000,0.0000
03/11/2022 01:00:00,03/11/2022 07:00:00,SPP,10.1525,11.4095,0.2599,0.0101,0.0000,0.0000
03/11/2022 02:00:00,03/11/2022 08:00:00,1,12.3395,12.4650,0.2600,0.0101,0.0000,0.0000
03/11/2022 02:00:00,03/11/2022 08:00:00,2,12.3395,12.4650,0.2600,0.0101,0.0000,0.0000
03/11/2022 02:00:00,03/11/2022 08:00:00,3,12.3395,12.4650,0.2600,0.0101,0.0000,0.0000
03/11/2022 02:00:00,03/11/2022 08:00:00,4,12.3395,12.4650,0.2600,0.0101,0.0000,0.0000
03/11/2022 02:00:00,03/11/2022 08:00:00,5,12.3395,12.4650,0.2600,0.0101,0.0000,0.0000
03/11/2022 02:00:00,03/11/2022 08:00:00,SPP,12.3395,12.4650,0.2600,0.0101,0.0000,0.0000
03/11/2022 03:00:00,03/11/2022 09:00:00,1,11.7930,11.5370,0.2599,0.0101,0.0000,0.0000
03/11/2022 03:00:00,03/11/2022 09:00:00,2,11.7930,11.5370,0.2599,0.0101,0.0000,0.0000
03/11/2022 03:00:00,03/11/2022 09:00:00,3,11.7930,11.5370,0.2599,0.0101,0.0000,0.0000
03/11/2022 03:00:00,03/11/2022 09:00:00,4,11.7930,11.5370,0.2599,0.0101,0.0000,0.0000
03/11/2022 03:00:00,03/11/2022 09:00:00,5,11.7930,11.5370,0.2599,0.0101,0.0000,0.0000
03/11/2022 03:00:00,03/11/2022 09:00:00,SPP,11.7930,11.5370,0.2599,0.0101,0.0000,0.0000
03/11/2022 04:00:00,03/11/2022 10:00:00,1,12.0494,12.4000,0.2599,0.0101,0.0000,0.0000
03/11/2022 04:00:00,03/11/2022 10:00:00,2,12.0494,12.4000,0.2599,0.0101,0.0000,0.0000
03/11/2022 04:00:00,03/11/2022 10:00:00,3,12.0494,12.4000,0.2599,0.0101,0.0000,0.0000
03/11/2022 04:00:00,03/11/2022 10:00:00,4,12.0494,12.4000,0.2599,0.0101,0.0000,0.0000
03/11/2022 04:00:00,03/11/2022 10:00:00,5,12.0494,12.4000,0.2599,0.0101,0.0000,0.0000
03/11/2022 04:00:00,03/11/2022 10:00:00,SPP,12.0494,12.4000,0.2599,0.0101,0.0000,0.0000
03/11/2022 05:00:00,03/11/2022 11:00:00,1,18.2555,10.5637,1.0001,0.1000,0.0000,0.0000
03/11/2022 05:00:00,03/11/2022 11:00:00,2,18.2555,10.5637,1.0001,0.1000,0.0000,0.0000
03/11/2022 05:00:00,03/11/2022 11:00:00,3,18.2555,10.5637,1.0001,0.1000,0.0000,0.0000
03/11/2022 05:00:00,03/11/2022 11:00:00,4,18.2555,10.5637,1.0001,0.1000,0.0000,0.0000
03/11/2022 05:00:00,03/11/2022 11:00:00,5,18.2555,10.5637,1.0001,0.1000,0.0000,0.0000
03/11/2022 05:00:00,03/11/2022 11:00:00,SPP,18.2555,10.5637,1.0001,0.1000,0.0000,0.0000
03/11/2022 06:00:00,03/11/2022 12:00:00,1,17.0465,7.9576,1.1481,0.1480,0.0000,0.0000
03/11/2022 06:00:00,03/11/2022 12:00:00,2,17.0465,7.9576,1.1481,0.1480,0.0000,0.0000
03/11/2022 06:00:00,03/11/2022 12:00:00,3,17.0465,7.9576,1.1481,0.1480,0.0000,0.0000
03/11/2022 06:00:00,03/11/2022 12:00:00,4,17.0465,7.9576,1.1481,0.1480,0.0000,0.0000
03/11/2022 06:00:00,03/11/2022 12:00:00,5,17.0465,7.9576,1.1481,0.1480,0.0000,0.0000
03/11/2022 06:00:00,03/11/2022 12:00:00,SPP,17.0465,7.9576,1.1481,0.1480,0.0000,0.0000
03/11/2022 07:00:00,03/11/2022 13:00:00,1,23.4680,7.6205,9.9134,0.6700,7.9133,0.0000
03/11/2022 07:00:00,03/11/2022 13:00:00,2,23.4680,7.6205,9.9134,0.6700,7.9133,0.0000
03/11/2022 07:00:00,03/11/2022 13:00:00,3,23.4680,7.6205,9.9134,0.6700,7.9133,0.0000
03/11/2022 07:00:00,03/11/2022 13:00:00,4,23.4680,7.6205,9.9134,0.6700,7.9133,0.0000
03/11/2022 07:00:00,03/11/2022 13:00:00,5,23.4680,7.6205,9.9134,0.6700,7.9133,0.0000
03/11/2022 07:00:00,03/11/2022 13:00:00,SPP,23.4680,7.6205,9.9134,0.6700,7.9133,0.0000
03/11/2022 08:00:00,03/11/2022 14:00:00,1,19.1341,9.2145,14.1184,0.6700,16.0000,0.0000
03/11/2022 08:00:00,03/11/2022 14:00:00,2,19.1341,9.2145,14.1184,0.6700,16.0000,0.0000
03/11/2022 08:00:00,03/11/2022 14:00:00,3,19.1341,9.2145,14.1184,0.6700,16.0000,0.0000
03/11/2022 08:00:00,03/11/2022 14:00:00,4,19.1341,9.2145,14.1184,0.6700,16.0000,0.0000
03/11/2022 08:00:00,03/11/2022 14:00:00,5,19.1341,9.2145,14.1184,0.6700,16.0000,0.0000
03/11/2022 08:00:00,03/11/2022 14:00:00,SPP,19.1341,9.2145,14.1184,0.6700,16.0000,0.0000
03/11/2022 09:00:00,03/11/2022 15:00:00,1,15.2515,8.9220,9.2347,0.6700,7.2347,0.0000
03/11/2022 09:00:00,03/11/2022 15:00:00,2,15.2515,8.9220,9.2347,0.6700,7.2347,0.0000
03/11/2022 09:00:00,03/11/2022 15:00:00,3,15.2515,8.9220,9.2347,0.6700,7.2347,0.0000
03/11/2022 09:00:00,03/11/2022 15:00:00,4,15.2515,8.9220,9.2347,0.6700,7.2347,0.0000
03/11/2022 09:00:00,03/11/2022 15:00:00,5,15.2515,8.9220,9.2347,0.6700,7.2347,0.0000
03/11/2022 09:00:00,03/11/2022 15:00:00,SPP,15.2515,8.9220,9.2347,0.6700,7.2347,0.0000
03/11/2022 10:00:00,03/11/2022 16:00:00,1,17.6625,4.9738,10.4087,0.6700,2.6675,0.0000
03/11/2022 10:00:00,03/11/2022 16:00:00,2,17.6625,4.9738,10.4087,0.6700,2.6675,0.0000
03/11/2022 10:00:00,03/11/2022 16:00:00,3,17.6625,4.9738,10.4087,0.6700,2.6675,0.0000
03/11/2022 10:00:00,03/11/2022 16:00:00,4,17.6625,4.9738,10.4087,0.6700,2.6675,0.0000
03/11/2022 10:00:00,03/11/2022 16:00:00,5,17.6625,4.9738,10.4087,0.6700,2.6675,0.0000
03/11/2022 10:00:00,03/11/2022 16:00:00,SPP,17.6625,4.9738,10.4087,0.6700,2.6675,0.0000
03/11/2022 11:00:00,03/11/2022 17:00:00,1,13.8704,5.7167,7.4539,0.6700,0.0000,0.0000
03/11/2022 11:00:00,03/11/2022 17:00:00,2,13.8704,5.7167,7.4539,0.6700,0.0000,0.0000
03/11/2022 11:00:00,03/11/2022 17:00:00,3,13.8704,5.7167,7.4539,0.6700,0.0000,0.0000
03/11/2022 11:00:00,03/11/2022 17:00:00,4,13.8704,5.7167,7.4539,0.6700,0.0000,0.0000
03/11/2022 11:00:00,03/11/2022 17:00:00,5,13.8704,5.7167,7.4539,0.6700,0.0000,0.0000
03/11/2022 11:00:00,03/11/2022 17:00:00,SPP,13.8704,5.7167,7.4539,0.6700,0.0000,0.0000
03/11/2022 12:00:00,03/11/2022 18:00:00,1,9.8109,8.0009,2.0407,0.1500,0.0000,0.0000
03/11/2022 12:00:00,03/11/2022 18:00:00,2,9.8109,8.0009,2.0407,0.1500,0.0000,0.0000
03/11/2022 12:00:00,03/11/2022 18:00:00,3,9.8109,8.0009,2.0407,0.1500,0.0000,0.0000
03/11/2022 12:00:00,03/11/2022 18:00:00,4,9.8109,8.0009,2.0407,0.1500,0.0000,0.0000
03/11/2022 12:00:00,03/11/2022 18:00:00,5,9.8109,8.0009,2.0407,0.1500,0.0000,0.0000
03/11/2022 12:00:00,03/11/2022 18:00:00,SPP,9.8109,8.0009,2.0407,0.1500,0.0000,0.0000
03/11/2022 13:00:00,03/11/2022 19:00:00,1,8.0144,8.7028,1.1500,0.1500,0.0000,0.0000
03/11/2022 13:00:00,03/11/2022 19:00:00,2,8.0144,8.7028,1.1500,0.1500,0.0000,0.0000
03/11/2022 13:00:00,03/11/2022 19:00:00,3,8.0144,8.7028,1.1500,0.1500,0.0000,0.0000
03/11/2022 13:00:00,03/11/2022 19:00:00,4,8.0144,8.7028,1.1500,0.1500,0.0000,0.0000
03/11/2022 13:00:00,03/11/2022 19:00:00,5,8.0144,8.7028,1.1500,0.1500,0.0000,0.0000
03/11/2022 13:00:00,03/11/2022 19:00:00,SPP,8.0144,8.7028,1.1500,0.1500,0.0000,0.0000
03/11/2022 14:00:00,03/11/2022 20:00:00,1,10.6069,7.9999,2.0000,0.1500,0.0000,0.0000
03/11/2022 14:00:00,03/11/2022 20:00:00,2,10.6069,7.9999,2.0000,0.1500,0.0000,0.0000
03/11/2022 14:00:00,03/11/2022 20:00:00,3,10.6069,7.9999,2.0000,0.1500,0.0000,0.0000
03/11/2022 14:00:00,03/11/2022 20:00:00,4,10.6069,7.9999,2.0000,0.1500,0.0000,0.0000
