time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9815.796579,0.0,0.0,0.0,9815.796579,2000.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
1,9808.189281,0.0,0.0,0.0,9808.189281,2000.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
2,9800.581984,0.0,295.168112963642,0.0,10095.750096963642,2259.747939408,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
3,9792.974686,0.0,500.063937406059,0.0,10293.038623406059,2699.80420432534,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
4,9785.367388,0.0,507.671235406058,0.0,10293.038623406059,3146.55489148267,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
5,9777.760091,0.0,515.278532406059,0.0,10293.038623406059,3600.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
6,9770.152793,0.0,0.0,838.392358166675,8931.760434833324,2761.60764183333,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
7,9762.545495,0.003138,0.0,486.287542166665,9276.254814833335,2275.32009966666,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
8,9754.938198,0.012353,0.0,478.671030166664,9276.254814833335,1796.6490695,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
9,9748.239536,0.022221,0.0,471.962500166665,9276.254814833335,1324.68656933333,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
10,9741.833391,0.024286000000000002,0.0,465.554290166665,9276.254814833335,859.132279166666,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
11,9735.427245,0.040151000000000006,0.0,459.132279166666,9276.254814833335,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
12,9729.0211,0.038328,564.055851406059,0.0,10293.038623406059,896.369149237332,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
13,9722.614955,0.026187000000000002,570.449855406059,0.0,10293.038623406059,1398.36502199466,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
14,9716.208809,0.019928,576.849742406059,0.0,10293.038623406059,1905.992795312,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
15,9709.802664,0.017484000000000003,583.253443406058,0.0,10293.038623406059,2419.25582550933,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
16,9703.396518,0.005292,589.647397406059,0.0,10293.038623406059,2938.14553522666,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
17,9696.990373,0.000262,0.0,1000.0,8696.990111000001,1938.14553522666,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
18,9690.584227,0.0,0.0,725.275503893329,8965.308723106671,1212.87003133333,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
19,9684.992039,0.0,0.0,408.737224166665,9276.254814833335,804.132807166665,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
20,9680.387622,0.0,0.0,404.132807166665,9276.254814833335,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
21,9675.783205,0.0,0.0,0.0,9675.783205,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
22,9671.178788,0.0,0.0,0.0,9671.178788,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
23,9666.574371,0.0,0.0,0.0,9666.574371,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
24,9662.749172,0.0,0.0,0.0,9662.749172,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
25,9660.747252,0.0,0.0,0.0,9660.747252,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
26,9658.745331,0.0,0.0,0.0,9658.745331,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
27,9656.743411,0.0,0.0,0.0,9656.743411,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
28,9654.741491,0.0,0.0,0.0,9654.741491,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
29,9652.32741,0.0,0.0,0.0,9652.32741,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
30,9647.522801,0.0,0.0,0.0,9647.522801,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
31,9642.718192,0.006097000000000001,0.0,0.0,9642.712095,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
32,9637.913583,0.018239000000000002,0.0,0.0,9637.895343999999,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
33,9633.108974,0.028711,0.0,0.0,9633.080263,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
34,9628.304365,0.030102,0.0,0.0,9628.274263,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
35,9620.114508,0.038951,0.0,0.0,9620.075557,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
36,9611.906634,0.029160000000000002,0.0,0.0,9611.877474,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
37,9603.69876,0.036291,0.0,0.0,9603.662468999999,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
38,9595.490887,0.031957,0.0,0.0,9595.45893,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
39,9587.283013,0.028915,0.0,0.0,9587.254098,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
40,9581.941889,0.015981,0.0,0.0,9581.925908,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
41,9577.13728,0.0017250000000000002,0.0,0.0,9577.135555,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
42,9572.332671,0.0,0.0,0.0,9572.332671,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
43,9567.528062,0.0,0.0,0.0,9567.528062,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
44,9562.723453,0.0,0.0,0.0,9562.723453,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
45,9554.189266,0.0,0.0,0.0,9554.189266,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
46,9543.979472,0.0,0.0,0.0,9543.979472,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
47,9533.769677,0.0,0.0,0.0,9533.769677,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
48,9523.559883,0.0,0.0,0.0,9523.559883,400.0,297867.06203257403,0.0,176213.14050619252,474080.20253876655,298449.3946700492,0.0,180435.14640643,478884.5410764792
