time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9876.466662,0.0,0.0,0.0,9876.466662,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
1,9875.866086,0.0,0.0,0.0,9875.866086,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
2,9874.51373,0.0,0.0,0.0,9874.51373,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
3,9873.112386,0.0,0.0,0.0,9873.112386,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
4,9871.711041,0.0,0.0,0.0,9871.711041,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
5,9870.309697,0.0,0.0,0.0,9870.309697,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
6,9868.908353,0.0,0.0,0.0,9868.908353,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
7,9867.821899,0.0,0.0,0.0,9867.821899,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
8,9866.820939,0.012304,0.0,0.0,9866.808635,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
9,9865.819978,0.028413,0.0,0.0,9865.791565,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
10,9864.819018,0.006582,0.0,0.0,9864.812436,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
11,9863.818058,0.017794,0.0,0.0,9863.800264000001,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
12,9862.817098,0.031283000000000005,0.0,0.0,9862.785815,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
13,9861.816137,0.023627,0.0,0.0,9861.79251,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
14,9860.815177,0.012162000000000001,0.0,0.0,9860.803015,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
15,9859.814217,0.015036,0.0,0.0,9859.799180999998,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
16,9858.813257,0.002523,0.0,0.0,9858.810734,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
17,9857.812297,0.0,0.0,0.0,9857.812297,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
18,9856.811336,0.0,0.0,0.0,9856.811336,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
19,9855.810376,0.0,0.0,0.0,9855.810376,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
20,9854.809416,0.0,0.0,0.0,9854.809416,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
21,9853.808456,0.0,0.0,0.0,9853.808456,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
22,9852.74155,0.0,0.0,0.0,9852.74155,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
23,9851.540398,0.0,0.0,0.0,9851.540398,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
24,9850.339245,0.0,0.0,0.0,9850.339245,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
25,9849.138093,0.0,0.0,0.0,9849.138093,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
26,9847.936941,0.0,0.0,0.0,9847.936941,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
27,9846.80668,0.0,0.0,0.0,9846.80668,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
28,9846.005912,0.0,0.0,0.0,9846.005912,200.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
29,9845.205144,0.0,181.818181818182,0.0,10027.023325818182,360.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
30,9844.404376,0.0,0.0,320.0,9524.404376,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
31,9843.603607,0.0,0.0,0.0,9843.603607,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
32,9842.797893,0.003467,0.0,0.0,9842.794426,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
33,9841.796933,0.030414000000000004,0.0,0.0,9841.766518999999,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
34,9840.795973,0.032741,0.0,0.0,9840.763232,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
35,9839.795013,0.032521,0.0,0.0,9839.762492000002,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
36,9838.794052,0.035648000000000006,0.0,0.0,9838.758404,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
37,9837.793092,0.033394,0.0,0.0,9837.759698,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
38,9836.96677,0.028274999999999998,0.0,0.0,9836.938495,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
39,9836.166002,0.01787,0.0,0.0,9836.148132,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
40,9835.365234,0.0052569999999999995,363.636363636364,0.0,10198.996340636364,360.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
41,9834.564465,0.0,0.0,320.0,9514.564465,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
42,9833.763697,0.0,0.0,0.0,9833.763697,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
43,9832.962929,0.0,0.0,0.0,9832.962929,40.0,348658.52798421704,0.0,190472.475607822,539131.003592039,348725.20538427273,0.0,190892.09454166002,539617.2999259328
