time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9678.220602,0.0,818.181818181818,0.0,10496.402420181817,2720.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
1,9676.819258,0.0,0.0,0.0,9676.819258,2720.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
2,9675.417914,0.0,0.0,0.0,9675.417914,2720.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
3,9674.016569,0.0,0.0,0.0,9674.016569,2720.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
4,9672.619935,0.0,0.0,0.0,9672.619935,2720.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
5,9671.618975,0.0,1000.0,0.0,10671.618975,3600.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
6,9670.618015,0.003028,0.0,1000.0,8670.614987,2600.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
7,9669.617055,0.013523,0.0,1000.0,8669.603532000001,1600.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
8,9668.616095,0.024960000000000003,0.0,1000.0,8668.591134999999,600.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
9,9667.615134,0.032756,0.0,200.0,9467.582378,400.0,333084.0496296446,0.0,183759.04190821078,516843.0915378554,333757.8116430077,0.0,188006.4211237,521764.23276670766
