time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
1,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
2,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
3,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
4,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
5,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
6,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
7,9889.238326,0.004527000000000001,0.0,0.0,9889.233799000001,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
8,9889.238326,0.018678999999999998,0.0,0.0,9889.219647,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
9,9889.238326,0.028823,0.0,0.0,9889.209503,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
10,9889.238326,0.034214,0.0,0.0,9889.204112000001,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
11,9889.238326,0.037946,0.0,0.0,9889.20038,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
12,9889.238326,0.035017000000000006,0.0,0.0,9889.203309,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
13,9889.238326,0.034444,0.0,0.0,9889.203882,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
14,9889.238326,0.029835,0.0,0.0,9889.208491000001,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
15,9889.238326,0.021355000000000002,0.0,0.0,9889.216971,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
16,9889.238326,0.009146000000000001,0.0,0.0,9889.22918,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
17,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
18,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
19,9889.238326,0.0,0.0,0.0,9889.238326,300.0,347423.53398590675,0.0,189503.47516542237,536927.009151329,347516.0948209082,0.0,190266.6899223,537782.7847432082
