time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9712.371952,0.0,0.0,0.0,9712.371952,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
1,9711.571184,0.0,0.0,0.0,9711.571184,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
2,9710.770416,0.0,0.0,0.0,9710.770416,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
3,9709.969647,0.0,0.0,0.0,9709.969647,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
4,9710.806215,0.0,0.0,0.0,9710.806215,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
5,9712.207559,0.000988,0.0,0.0,9712.206571,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
6,9713.608903,0.004655,0.0,0.0,9713.604248,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
7,9715.010248,0.009658,0.0,0.0,9715.00059,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
8,9716.411592,0.019274000000000003,0.0,0.0,9716.392318,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
9,9717.339541,0.012917999999999999,0.0,0.0,9717.326622999999,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
10,9717.940117,0.028014,0.0,0.0,9717.912103,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
11,9718.540693,0.033493,0.0,0.0,9718.5072,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
12,9719.141269,0.034891,0.0,0.0,9719.106378,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
13,9719.741845,0.037104,0.0,0.0,9719.704741,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
14,9720.51812,0.019699,0.0,0.0,9720.498421,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
15,9721.51908,0.003812,0.0,0.0,9721.515268,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
16,9722.52004,0.000833,0.0,0.0,9722.519207,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
17,9723.521,0.000298,0.0,0.0,9723.520702,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
18,9724.52196,6e-05,0.0,0.0,9724.5219,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
19,9725.350873,0.0,0.0,0.0,9725.350873,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
20,9725.751257,0.0,0.0,0.0,9725.751257,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
21,9726.151641,0.0,0.0,0.0,9726.151641,300.0,357544.57427127584,0.0,241728.4747400342,599273.0490113101,357773.1099148511,0.0,242670.78990917,600443.8998240212
