time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9505.581224,0.0,100.0,0.0,9605.581224,488.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
1,9504.380072,0.0,18.1818181818182,0.0,9522.561890181818,504.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
2,9503.17892,0.0,0.0,0.0,9503.17892,504.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
3,9501.977768,0.0,0.0,0.0,9501.977768,504.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
4,9500.776615,0.0,100.0,0.0,9600.776615,592.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
5,9499.575463,0.0,100.0,0.0,9599.575463,680.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
6,9498.374311,0.000578,0.0,100.0,9398.373733,580.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
7,9496.792558,0.006978,0.0,100.0,9396.78558,480.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
8,9495.191022,0.011757,0.0,100.0,9395.179265,380.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
9,9493.589486,0.021525,0.0,100.0,9393.567961,280.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
10,9491.987949,0.034194,0.0,100.0,9391.953755,180.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
11,9490.386413,0.021471,0.0,100.0,9390.364942,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
12,9489.104477,0.015049,54.5454545454545,0.0,9543.634882545455,128.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
13,9487.903325,0.013417,100.0,0.0,9587.889908,216.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
14,9486.702173,0.011845000000000001,100.0,0.0,9586.690327999999,304.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
15,9485.50102,0.00451,100.0,0.0,9585.496509999999,392.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
16,9484.299868,0.011351000000000002,100.0,0.0,9584.288517,480.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
17,9482.969415,0.003017,0.0,100.0,9382.966397999999,380.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
18,9481.568071,0.0,0.0,100.0,9381.568071,280.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
19,9480.166727,0.0,0.0,100.0,9380.166727,180.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
20,9478.765382,0.0,0.0,100.0,9378.765382,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
21,9477.364038,0.0,0.0,0.0,9477.364038,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
22,9476.160295,0.0,0.0,0.0,9476.160295,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
23,9475.159335,0.0,0.0,0.0,9475.159335,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
24,9474.158375,0.0,0.0,0.0,9474.158375,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
25,9473.157414,0.0,0.0,0.0,9473.157414,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
26,9472.156454,0.0,0.0,0.0,9472.156454,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
27,9471.292096,0.0,0.0,0.0,9471.292096,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
28,9470.691519,0.0,0.0,0.0,9470.691519,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
29,9470.090943,0.0,0.0,0.0,9470.090943,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
30,9469.490367,4.4999999999999996e-05,0.0,0.0,9469.490322,80.0,335714.0147802709,0.0,183290.022611012,519004.03739128297,335819.605181817,0.0,184134.85049733997,519954.455679157
