,month,day,hour,insolation_pu
0,1,1,1,0.0
1,1,1,2,0.0
2,1,1,3,0.0
3,1,1,4,0.0
4,1,1,5,0.0
5,1,1,6,0.0
6,1,1,7,0.0
7,1,1,8,0.00012538535831860075
8,1,1,9,0.07651307221116135
9,1,1,10,0.16383498240187774
10,1,1,11,0.26255293588322426
11,1,1,12,0.30467184011539644
12,1,1,13,0.31783329077450817
13,1,1,14,0.266224793063424
14,1,1,15,0.1843594687010527
15,1,1,16,0.09898643980050119
16,1,1,17,0.0005987691152624051
17,1,1,18,0.0
18,1,1,19,0.0
19,1,1,20,0.0
20,1,1,21,0.0
21,1,1,22,0.0
22,1,1,23,0.0
23,1,1,24,0.0
24,1,2,1,0.0
25,1,2,2,0.0
26,1,2,3,0.0
27,1,2,4,0.0
28,1,2,5,0.0
29,1,2,6,0.0
30,1,2,7,0.0
31,1,2,8,0.00014253124586975963
32,1,2,9,0.07082781773894639
33,1,2,10,0.15996271366531992
34,1,2,11,0.2548668662693718
35,1,2,12,0.3132156393511924
36,1,2,13,0.3131765958279407
37,1,2,14,0.259703448527855
38,1,2,15,0.1841578783166997
39,1,2,16,0.09368936660099926
40,1,2,17,0.0013209450449422372
41,1,2,18,0.0
42,1,2,19,0.0
43,1,2,20,0.0
44,1,2,21,0.0
45,1,2,22,0.0
46,1,2,23,0.0
47,1,2,24,0.0
48,1,3,1,0.0
49,1,3,2,0.0
50,1,3,3,0.0
51,1,3,4,0.0
52,1,3,5,0.0
53,1,3,6,0.0
54,1,3,7,0.0
55,1,3,8,9.588354101774957e-05
56,1,3,9,0.05029386493276451
57,1,3,10,0.12008449763988929
58,1,3,11,0.18256065831511104
59,1,3,12,0.20613424427770335
60,1,3,13,0.21370925559023354
61,1,3,14,0.1924183610801649
62,1,3,15,0.12273167858946901
63,1,3,16,0.06476491737762034
64,1,3,17,0.001815473694196986
65,1,3,18,0.0
66,1,3,19,0.0
67,1,3,20,0.0
68,1,3,21,0.0
69,1,3,22,0.0
70,1,3,23,0.0
71,1,3,24,0.0
72,1,4,1,0.0
73,1,4,2,0.0
74,1,4,3,0.0
75,1,4,4,0.0
76,1,4,5,0.0
77,1,4,6,0.0
78,1,4,7,0.0
79,1,4,8,7.509236796040433e-05
80,1,4,9,0.03805387806040839
81,1,4,10,0.08676176019343834
82,1,4,11,0.11611390774128746
83,1,4,12,0.14601069985112222
84,1,4,13,0.1622162929577672
85,1,4,14,0.1629197724282776
86,1,4,15,0.12014621561616864
87,1,4,16,0.05555072445461129
88,1,4,17,0.0025733699291856987
89,1,4,18,0.0
90,1,4,19,0.0
91,1,4,20,0.0
92,1,4,21,0.0
93,1,4,22,0.0
94,1,4,23,0.0
95,1,4,24,0.0
96,1,5,1,0.0
97,1,5,2,0.0
98,1,5,3,0.0
99,1,5,4,0.0
100,1,5,4,0.0
101,1,5,5,0.0
102,1,5,6,0.0
103,1,5,7,0.0001256199603824442
104,1,5,8,0.0852114119683431
105,1,5,9,0.1893411664039722
106,1,5,10,0.288526878113584
107,1,5,11,0.336885308796569
108,1,5,12,0.32601540244291793
109,1,5,13,0.2700615728094776
110,1,5,14,0.19176252292010015
111,1,5,15,0.0971394221906111
112,1,5,16,0.005423650008376327
113,1,5,17,0.0
114,1,5,18,0.0
115,1,5,19,0.0
116,1,5,20,0.0
117,1,5,21,0.0
118,1,5,22,0.0
119,1,5,23,0.0
120,1,5,24,0.0
121,1,6,1,0.0
122,1,6,2,0.0
123,1,6,3,0.0
124,1,6,4,0.0
125,1,6,5,0.0
126,1,6,6,0.0
127,1,6,7,0.00019413523629188093
128,1,6,8,0.0895403606599574
129,1,6,9,0.23047727481583055
130,1,6,10,0.3427306037030253
131,1,6,11,0.4047118876227568
132,1,6,12,0.4134983321025533
133,1,6,13,0.36625455339853896
134,1,6,14,0.26265702631370175
135,1,6,15,0.12279336048922616
136,1,6,16,0.00706838188163689
137,1,6,17,0.0
138,1,6,18,0.0
139,1,6,19,0.0
140,1,6,20,0.0
141,1,6,21,0.0
142,1,6,22,0.0
143,1,6,23,0.0
144,1,6,24,0.0
145,1,7,1,0.0
146,1,7,2,0.0
147,1,7,3,0.0
148,1,7,4,0.0
149,1,7,5,0.0
150,1,7,6,0.0
151,1,7,7,0.00018695687332848942
152,1,7,8,0.08655185370819962
153,1,7,9,0.21095070230008967
154,1,7,10,0.31207223971222053
155,1,7,11,0.3547758640553016
156,1,7,12,0.35354996930669175
157,1,7,13,0.319512880672097
158,1,7,14,0.24624309430573402
159,1,7,15,0.124898664943967
160,1,7,16,0.008029397165640256
161,1,7,17,0.0
162,1,7,18,0.0
163,1,7,19,0.0
164,1,7,20,0.0
165,1,7,21,0.0
166,1,7,22,0.0
167,1,7,23,0.0
168,1,7,24,0.0
169,1,8,1,0.0
170,1,8,2,0.0
171,1,8,3,0.0
172,1,8,4,0.0
173,1,8,5,0.0
174,1,8,6,0.0
175,1,8,7,0.00016853862627855306
176,1,8,8,0.08803734236461626
177,1,8,9,0.19887241269600495
178,1,8,10,0.27387361800521043
179,1,8,11,0.2846167381681296
180,1,8,12,0.25252839382693426
181,1,8,13,0.2230003638913548
182,1,8,14,0.17003216244654115
183,1,8,15,0.08422289153444983
184,1,8,16,0.00782523385924452
185,1,8,17,0.0
186,1,8,18,0.0
187,1,8,19,0.0
188,1,8,20,0.0
189,1,8,21,0.0
190,1,8,22,0.0
191,1,8,23,0.0
192,1,8,24,0.0
193,1,9,1,0.0
194,1,9,2,0.0
195,1,9,3,0.0
196,1,9,4,0.0
197,1,9,5,0.0
198,1,9,6,0.0
199,1,9,7,0.00021509593232082886
200,1,9,8,0.08486530192914751
201,1,9,9,0.19844732318052458
202,1,9,10,0.2865036971844166
203,1,9,11,0.33648431196846573
204,1,9,12,0.3583975932563566
205,1,9,13,0.3419033774392104
206,1,9,14,0.2591687918167903
207,1,9,15,0.13093794895254202
208,1,9,16,0.013824727717180013
209,1,9,17,0.0
210,1,9,18,0.0
211,1,9,19,0.0
212,1,9,20,0.0
213,1,9,21,0.0
214,1,9,22,0.0
215,1,9,23,0.0
216,1,9,24,0.0
217,1,10,1,0.0
218,1,10,2,0.0
219,1,10,3,0.0
