,time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,0,168.70385598,0.0,0.0,0.0,168.70385598,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
1,1,153.36450070799998,0.0,0.0,0.0,153.36450070799998,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
2,2,141.155704265,0.0,0.0,0.0,141.155704265,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
3,3,138.369402121,0.0,0.0,0.0,138.369402121,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
4,4,145.611445528,0.0,0.0,0.0,145.611445528,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
5,5,182.241813363,0.0,0.0,0.0,182.241813363,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
6,6,311.485124186,0.0,0.0,0.0,311.485124186,200.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
7,7,379.98710699099996,0.0,0.0,53.7217949915877,326.26531199941223,146.278205008412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
8,8,338.590051815,0.0,0.0,12.3247398155877,326.2653119994123,133.953465192825,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
9,9,308.05254905,0.975901,0.0,0.0,307.07664804999996,133.953465192825,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
