,Application score,Location score,Cost score,Maturity score,Total score
Flywheel - Long duration,0.0,0.8,0.35680304471931495,0.5,0.0
Flywheel - Short duration,0.0,0.8,0.6302521008403361,0.8,0.0
Lead-carbon,0.2681021902365031,0.1,0.0,0.8,0.0
Nickel,0.27571159592349076,0.0,0.0,0.5,0.0
Flow battery - Zinc bromide,0.3530705252850732,0.1,0.0,0.6,0.0
Zinc,0.5940026267016217,0.0,0.583203732503888,0.3,0.0
Flow battery - Iron,0.3886043960734408,0.1,0.4738438210765732,0.6,0.1584402652236082
Vanadium redox flow,0.46234539156385274,0.3,0.49244911359159554,0.6,0.2452642783142453
Lead-acid,0.2647081267265772,0.1,0.6122448979591837,1.0,0.2530642611149424
Sodium,0.6799632668994364,0.9,0.38420162901490706,0.8,0.49376356654772735
Compressed-air energy storage,0.6711690533525498,1.0,0.5622188905547226,0.8,0.578099294613191
Lithium-ion,0.258063341420312,1.0,0.7792612603252117,1.0,0.5858725282328727
Lithium-ion nickel-manganese-cobalt,0.36358902036708546,1.0,0.613747954173486,1.0,0.6065504637985283
Lithium-ion iron phosphate,0.4934662210424505,1.0,0.6193228736581338,1.0,0.673583618461045
Pumped hydro storage,0.8527729686650724,1.0,0.4230118443316413,1.0,0.7118611925041234
